year;month;day;temp_max;temp_min;was_raining_previous_day
2020;11;19;11;8;0
2020;11;20;4;2;0
2020;11;21;3;0;0
2020;11;22;7;0;0
2020;11;23;7;3;0
2020;11;24;5;3;0
2020;11;25;5;2;0
2020;11;26;4;0;0
2020;11;27;6;0;1
2020;11;28;2;-3;1
2020;11;29;1;0;0
2020;11;30;1;0;1
2020;12;01;1;-1;0
2020;12;02;0;-1;0
2020;12;03;0;-2;0
2020;12;04;5;0;0
2020;12;05;9;3;0
2020;12;06;7;3;0
2020;12;07;2;0;0
2020;12;08;1;-1;0
2020;12;09;1;-6;1
2020;12;10;2;-3;0
2020;12;11;4;-1;1
2020;12;12;4;1;0
2020;12;13;3;0;0
2020;12;14;2;1;0
2020;12;15;2;-4;0
2020;12;16;3;-3;0
2020;12;17;4;0;0
2020;12;18;4;1;0
2020;12;19;3;0;0
2020;12;20;3;0;0
2020;12;21;2;-4;1
2020;12;22;3;0;0
2020;12;23;4;2;1
2020;12;24;8;3;1
2020;12;25;4;1;1
2020;12;26;1;0;0
2020;12;27;1;-3;0
2020;12;28;6;0;1
2020;12;29;7;0;1
2020;12;30;5;2;1
2020;12;31;3;-3;0
2021;01;01;3;0;0
2021;01;02;1;-3;1
2021;01;03;3;0;0
2021;01;04;2;-1;1
2021;01;05;5;1;0
2021;01;06;4;2;1
2021;01;07;2;0;0
2021;01;08;0;0;0
2021;01;09;0;0;1
2021;01;10;0;-8;0
2021;01;11;0;-1;1
2021;01;12;0;-4;1
2021;01;13;0;-1;1
2021;01;14;-1;-4;0
2021;01;15;-6;-8;1
2021;01;16;-3;-12;0
2021;01;17;-14;-18;0
2021;01;18;-10;-14;1
2021;01;19;0;-11;1
2021;01;20;2;-2;0
2021;01;21;2;-6;0
2021;01;22;3;-1;0
2021;01;23;5;1;1
2021;01;24;0;-2;1
2021;01;25;0;-7;1
2021;01;26;0;-2;1
2021;01;27;0;0;1
2021;01;28;0;-5;0
2021;01;29;-1;-5;1
2021;01;30;-1;-5;1
2021;01;31;-2;-6;0
2021;02;01;-3;-7;0
2021;02;02;1;-6;1
